Scenario,Baseline_Scenario,period,gen_energy_source,Energy_GWh_typical_yr,Energy_GWh_typical_yr_Baseline,Delta_AnnualGen_GWh,AnnualGen_perc_change_from_baseline
CanESM,Baseline no CC,2030,Biomass,15209.8109,14944.9666,264.8443,0.018
CanESM,Baseline no CC,2030,Coal,22020.85,28285.598,-6264.748,-0.221
CanESM,Baseline no CC,2030,Gas,345583.9621,331641.5448,13942.41728,0.042
CanESM,Baseline no CC,2030,Geothermal,5684.382,5684.382,0,0
CanESM,Baseline no CC,2030,Solar,287173.419,299685.265,-12511.846,-0.042
CanESM,Baseline no CC,2030,Uranium,42763,42763,0,0
CanESM,Baseline no CC,2030,Waste Heat,708.3051,710.0567,-1.7516,-0.002
CanESM,Baseline no CC,2030,Water,230256.701,240572.7791,-10316.0781,-0.043
CanESM,Baseline no CC,2030,Wind,145111.4729,112271.1872,32840.28574,0.293
CanESM,Baseline no CC,2035,Battery Storage,11189.222,23673.80803,-12484.58603,-0.527
CanESM,Baseline no CC,2035,Biomass,16420.10067,16020.9467,399.15397,0.025
CanESM,Baseline no CC,2035,Coal,0,3911.8,-3911.8,-1
CanESM,Baseline no CC,2035,Gas,311567.8753,311595.2392,-27.36390368,0
CanESM,Baseline no CC,2035,Geothermal,2322.31,2322.31,0,0
CanESM,Baseline no CC,2035,Oil,0.02745606,0,0.02745606,Inf
CanESM,Baseline no CC,2035,Solar,325088.3815,370963.234,-45874.85246,-0.124
CanESM,Baseline no CC,2035,Uranium,42763,42763,0,0
CanESM,Baseline no CC,2035,Waste Heat,377.5873,373.5922,3.9951,0.011
CanESM,Baseline no CC,2035,Water,202523.1404,240572.7791,-38049.6387,-0.158
CanESM,Baseline no CC,2035,Wind,284951.0002,183113.07,101837.9302,0.556
CanESM,Baseline no CC,2040,Battery Storage,85300.33303,60300.34808,24999.98495,0.415
CanESM,Baseline no CC,2040,Biomass,16646.9484,16557.7686,89.1798,0.005
CanESM,Baseline no CC,2040,Gas,214159.5678,217326.721,-3167.153191,-0.015
CanESM,Baseline no CC,2040,Solar,470674.8709,444994.35,25680.5209,0.058
CanESM,Baseline no CC,2040,Uranium,42880,42880,0,0
CanESM,Baseline no CC,2040,Waste Heat,128.7252,147.3505,-18.6253,-0.126
CanESM,Baseline no CC,2040,Water,199551.3392,241236.2242,-41684.885,-0.173
CanESM,Baseline no CC,2040,Wind,379130.8611,323499.462,55631.39912,0.172
CanESM,Baseline no CC,2045,Battery Storage,170330.1903,174976.884,-4646.693731,-0.027
CanESM,Baseline no CC,2045,Biomass,16339.7961,16448.4871,-108.691,-0.007
CanESM,Baseline no CC,2045,Gas,92884.17646,93571.69649,-687.5200306,-0.007
CanESM,Baseline no CC,2045,Solar,598129.0713,617190.51,-19061.43874,-0.031
CanESM,Baseline no CC,2045,Uranium,42763,42763,0,0
CanESM,Baseline no CC,2045,Waste Heat,106.4043,110.882,-4.4777,-0.04
CanESM,Baseline no CC,2045,Water,240739.0451,240572.7791,166.266,0.001
CanESM,Baseline no CC,2045,Wind,469158.7001,427622.521,41536.17906,0.097
CanESM,Baseline no CC,2050,Battery Storage,305247.3708,327780.741,-22533.37018,-0.069
CanESM,Baseline no CC,2050,Biomass,15180.5611,15343.5411,-162.98,-0.011
CanESM,Baseline no CC,2050,Solar,829420.2743,866977.566,-37557.29175,-0.043
CanESM,Baseline no CC,2050,Uranium,42763,42763,0,0
CanESM,Baseline no CC,2050,Waste Heat,30.5027,31.433,-0.9303,-0.03
CanESM,Baseline no CC,2050,Water,248566.1661,240572.7791,7993.387,0.033
CanESM,Baseline no CC,2050,Wind,491635.818,450457.851,41177.96702,0.091
GFDL-CM3,Baseline no CC,2030,Battery Storage,3292.484603,412.3679,2880.116703,6.984
GFDL-CM3,Baseline no CC,2030,Biomass,15075.8691,14944.9666,130.9025,0.009
GFDL-CM3,Baseline no CC,2030,Coal,13157.5,28285.598,-15128.098,-0.535
GFDL-CM3,Baseline no CC,2030,Gas,377481.2405,331641.5448,45839.69568,0.138
GFDL-CM3,Baseline no CC,2030,Geothermal,5684.382,5684.382,0,0
GFDL-CM3,Baseline no CC,2030,Solar,312778.0412,299685.265,13092.77616,0.044
GFDL-CM3,Baseline no CC,2030,Uranium,42763,42763,0,0
GFDL-CM3,Baseline no CC,2030,Waste Heat,684.5248,710.0567,-25.5319,-0.036
GFDL-CM3,Baseline no CC,2030,Water,213274.0898,240572.7791,-27298.6893,-0.113
GFDL-CM3,Baseline no CC,2030,Wind,117852.7364,112271.1872,5581.549217,0.05
GFDL-CM3,Baseline no CC,2035,Battery Storage,8174.986715,23673.80803,-15498.82131,-0.655
GFDL-CM3,Baseline no CC,2035,Biomass,16021.56868,16020.9467,0.62198,0
GFDL-CM3,Baseline no CC,2035,Coal,0,3911.8,-3911.8,-1
GFDL-CM3,Baseline no CC,2035,Gas,314920.3995,311595.2392,3325.160237,0.011
GFDL-CM3,Baseline no CC,2035,Geothermal,2322.31,2322.31,0,0
GFDL-CM3,Baseline no CC,2035,Solar,338573.3449,370963.234,-32389.88911,-0.087
GFDL-CM3,Baseline no CC,2035,Uranium,42763,42763,0,0
GFDL-CM3,Baseline no CC,2035,Waste Heat,375.2454,373.5922,1.6532,0.004
GFDL-CM3,Baseline no CC,2035,Water,218821.678,240572.7791,-21751.1011,-0.09
GFDL-CM3,Baseline no CC,2035,Wind,255919.1069,183113.07,72806.03688,0.398
GFDL-CM3,Baseline no CC,2040,Battery Storage,58956.2758,60300.34808,-1344.072273,-0.022
GFDL-CM3,Baseline no CC,2040,Biomass,16542.0985,16557.7686,-15.6701,-0.001
GFDL-CM3,Baseline no CC,2040,Gas,213343.3568,217326.721,-3983.364134,-0.018
GFDL-CM3,Baseline no CC,2040,Solar,418605.703,444994.35,-26388.64699,-0.059
GFDL-CM3,Baseline no CC,2040,Uranium,42880,42880,0,0
GFDL-CM3,Baseline no CC,2040,Waste Heat,129.967,147.3505,-17.3835,-0.118
GFDL-CM3,Baseline no CC,2040,Water,236817.313,241236.2242,-4418.9112,-0.018
GFDL-CM3,Baseline no CC,2040,Wind,382490.6845,323499.462,58991.2225,0.182
GFDL-CM3,Baseline no CC,2045,Battery Storage,185478.1645,174976.884,10501.28053,0.06
GFDL-CM3,Baseline no CC,2045,Biomass,16448.4921,16448.4871,0.005,0
GFDL-CM3,Baseline no CC,2045,Gas,93322.8488,93571.69649,-248.8476888,-0.003
GFDL-CM3,Baseline no CC,2045,Solar,633347.3046,617190.51,16156.79456,0.026
GFDL-CM3,Baseline no CC,2045,Uranium,42763,42763,0,0
GFDL-CM3,Baseline no CC,2045,Waste Heat,110.251,110.882,-0.631,-0.006
GFDL-CM3,Baseline no CC,2045,Water,251329.9999,240572.7791,10757.2208,0.045
GFDL-CM3,Baseline no CC,2045,Wind,433170.0962,427622.521,5547.575183,0.013
GFDL-CM3,Baseline no CC,2050,Battery Storage,327140.6258,327780.741,-640.1151619,-0.002
GFDL-CM3,Baseline no CC,2050,Biomass,15343.5411,15343.5411,0,0
GFDL-CM3,Baseline no CC,2050,Solar,842356.494,866977.566,-24621.07204,-0.028
GFDL-CM3,Baseline no CC,2050,Uranium,42763,42763,0,0
GFDL-CM3,Baseline no CC,2050,Waste Heat,31.8635,31.433,0.4305,0.014
GFDL-CM3,Baseline no CC,2050,Water,242258.7348,240572.7791,1685.9557,0.007
GFDL-CM3,Baseline no CC,2050,Wind,505635.1151,450457.851,55177.2641,0.122
GFDL-ESM2M,Baseline no CC,2030,Battery Storage,4276.965733,412.3679,3864.597833,9.372
GFDL-ESM2M,Baseline no CC,2030,Biomass,14957.23384,14944.9666,12.26723899,0.001
GFDL-ESM2M,Baseline no CC,2030,Coal,24345.798,28285.598,-3939.8,-0.139
GFDL-ESM2M,Baseline no CC,2030,Gas,342055.6625,331641.5448,10414.11768,0.031
GFDL-ESM2M,Baseline no CC,2030,Geothermal,5684.382,5684.382,0,0
GFDL-ESM2M,Baseline no CC,2030,Solar,294867.7811,299685.265,-4817.483888,-0.016
GFDL-ESM2M,Baseline no CC,2030,Uranium,42763,42763,0,0
GFDL-ESM2M,Baseline no CC,2030,Waste Heat,709.2985,710.0567,-0.7582,-0.001
GFDL-ESM2M,Baseline no CC,2030,Water,224720.7674,240572.7791,-15852.0117,-0.066
GFDL-ESM2M,Baseline no CC,2030,Wind,137811.4061,112271.1872,25540.21889,0.227
GFDL-ESM2M,Baseline no CC,2035,Battery Storage,17177.97544,23673.80803,-6495.832594,-0.274
GFDL-ESM2M,Baseline no CC,2035,Biomass,16043.07908,16020.9467,22.13238,0.001
GFDL-ESM2M,Baseline no CC,2035,Coal,0,3911.8,-3911.8,-1
GFDL-ESM2M,Baseline no CC,2035,Gas,311647.2312,311595.2392,51.99200745,0
GFDL-ESM2M,Baseline no CC,2035,Geothermal,2322.31,2322.31,0,0
GFDL-ESM2M,Baseline no CC,2035,Solar,330197.9742,370963.234,-40765.25984,-0.11
GFDL-ESM2M,Baseline no CC,2035,Uranium,42763,42763,0,0
GFDL-ESM2M,Baseline no CC,2035,Waste Heat,364.3307,373.5922,-9.2615,-0.025
GFDL-ESM2M,Baseline no CC,2035,Water,205709.2087,240572.7791,-34863.5704,-0.145
GFDL-ESM2M,Baseline no CC,2035,Wind,275044.5141,183113.07,91931.44405,0.502
GFDL-ESM2M,Baseline no CC,2040,Battery Storage,107199.5713,60300.34808,46899.22318,0.778
GFDL-ESM2M,Baseline no CC,2040,Biomass,16869.0047,16557.7686,311.2361,0.019
GFDL-ESM2M,Baseline no CC,2040,Gas,215737.4706,217326.721,-1589.250336,-0.007
GFDL-ESM2M,Baseline no CC,2040,Solar,512978.4604,444994.35,67984.11036,0.153
GFDL-ESM2M,Baseline no CC,2040,Uranium,42880,42880,0,0
GFDL-ESM2M,Baseline no CC,2040,Waste Heat,137.0978,147.3505,-10.2527,-0.07
GFDL-ESM2M,Baseline no CC,2040,Water,196227.0597,241236.2242,-45009.1645,-0.187
GFDL-ESM2M,Baseline no CC,2040,Wind,333795.1132,323499.462,10295.65121,0.032
GFDL-ESM2M,Baseline no CC,2045,Battery Storage,230812.0978,174976.884,55835.21384,0.319
GFDL-ESM2M,Baseline no CC,2045,Biomass,16561.1535,16448.4871,112.6664,0.007
GFDL-ESM2M,Baseline no CC,2045,Gas,93514.30444,93571.69649,-57.39205133,-0.001
GFDL-ESM2M,Baseline no CC,2045,Solar,719051.9493,617190.51,101861.4393,0.165
GFDL-ESM2M,Baseline no CC,2045,Uranium,42763,42763,0,0
GFDL-ESM2M,Baseline no CC,2045,Waste Heat,121.0134,110.882,10.1314,0.091
GFDL-ESM2M,Baseline no CC,2045,Water,205792.598,240572.7791,-34780.1811,-0.145
GFDL-ESM2M,Baseline no CC,2045,Wind,394232.0161,427622.521,-33390.50493,-0.078
GFDL-ESM2M,Baseline no CC,2050,Battery Storage,399988.5203,327780.741,72207.77935,0.22
GFDL-ESM2M,Baseline no CC,2050,Biomass,15380.8145,15343.5411,37.2734,0.002
GFDL-ESM2M,Baseline no CC,2050,Geothermal,5772.8,0,5772.8,Inf
GFDL-ESM2M,Baseline no CC,2050,Solar,1002029.969,866977.566,135052.4031,0.156
GFDL-ESM2M,Baseline no CC,2050,Uranium,42763,42763,0,0
GFDL-ESM2M,Baseline no CC,2050,Waste Heat,26.3822,31.433,-5.0508,-0.161
GFDL-ESM2M,Baseline no CC,2050,Water,222213.0566,240572.7791,-18359.7225,-0.076
GFDL-ESM2M,Baseline no CC,2050,Wind,369894.548,450457.851,-80563.303,-0.179
HadGEM2-CC,Baseline no CC,2030,Battery Storage,2888.1272,412.3679,2475.7593,6.004
HadGEM2-CC,Baseline no CC,2030,Biomass,15246.4937,14944.9666,301.5271,0.02
HadGEM2-CC,Baseline no CC,2030,Coal,19548.25,28285.598,-8737.348,-0.309
HadGEM2-CC,Baseline no CC,2030,Gas,359352.5763,331641.5448,27711.03148,0.084
HadGEM2-CC,Baseline no CC,2030,Geothermal,5684.382,5684.382,0,0
HadGEM2-CC,Baseline no CC,2030,Solar,300741.267,299685.265,1056.002,0.004
HadGEM2-CC,Baseline no CC,2030,Uranium,42763,42763,0,0
HadGEM2-CC,Baseline no CC,2030,Waste Heat,694.9385,710.0567,-15.1182,-0.021
HadGEM2-CC,Baseline no CC,2030,Water,231496.9994,240572.7791,-9075.7797,-0.038
HadGEM2-CC,Baseline no CC,2030,Wind,118875.6087,112271.1872,6604.4215,0.059
HadGEM2-CC,Baseline no CC,2035,Battery Storage,8513.01504,23673.80803,-15160.79299,-0.64
HadGEM2-CC,Baseline no CC,2035,Biomass,16002.80748,16020.9467,-18.13922,-0.001
HadGEM2-CC,Baseline no CC,2035,Coal,0,3911.8,-3911.8,-1
HadGEM2-CC,Baseline no CC,2035,Gas,312882.2162,311595.2392,1286.976947,0.004
HadGEM2-CC,Baseline no CC,2035,Geothermal,2322.31,2322.31,0,0
HadGEM2-CC,Baseline no CC,2035,Solar,330982.887,370963.234,-39980.34699,-0.108
HadGEM2-CC,Baseline no CC,2035,Uranium,42763,42763,0,0
HadGEM2-CC,Baseline no CC,2035,Waste Heat,364.8545,373.5922,-8.7377,-0.023
HadGEM2-CC,Baseline no CC,2035,Water,219044.1885,240572.7791,-21528.5906,-0.089
HadGEM2-CC,Baseline no CC,2035,Wind,255923.417,183113.07,72810.347,0.398
HadGEM2-CC,Baseline no CC,2040,Battery Storage,56494.16708,60300.34808,-3806.181001,-0.063
HadGEM2-CC,Baseline no CC,2040,Biomass,16733.4535,16557.7686,175.6849,0.011
HadGEM2-CC,Baseline no CC,2040,Gas,213171.1862,217326.721,-4155.53477,-0.019
HadGEM2-CC,Baseline no CC,2040,Solar,395389.45,444994.35,-49604.89997,-0.111
HadGEM2-CC,Baseline no CC,2040,Uranium,42880,42880,0,0
HadGEM2-CC,Baseline no CC,2040,Waste Heat,133.6768,147.3505,-13.6737,-0.093
HadGEM2-CC,Baseline no CC,2040,Water,198155.1239,241236.2242,-43081.1003,-0.179
HadGEM2-CC,Baseline no CC,2040,Wind,434170.73,323499.462,110671.268,0.342
HadGEM2-CC,Baseline no CC,2045,Battery Storage,217198.7201,174976.884,42221.83611,0.241
HadGEM2-CC,Baseline no CC,2045,Biomass,16574.2415,16448.4871,125.7544,0.008
HadGEM2-CC,Baseline no CC,2045,Gas,93564.512,93571.69649,-7.184488,0
HadGEM2-CC,Baseline no CC,2045,Solar,665463.71,617190.51,48273.20005,0.078
HadGEM2-CC,Baseline no CC,2045,Uranium,42763,42763,0,0
HadGEM2-CC,Baseline no CC,2045,Waste Heat,132.4894,110.882,21.6074,0.195
HadGEM2-CC,Baseline no CC,2045,Water,214921.1974,240572.7791,-25651.5817,-0.107
HadGEM2-CC,Baseline no CC,2045,Wind,434239.859,427622.521,6617.338,0.015
HadGEM2-CC,Baseline no CC,2050,Battery Storage,360030.89,327780.741,32250.14902,0.098
HadGEM2-CC,Baseline no CC,2050,Biomass,15380.8145,15343.5411,37.2734,0.002
HadGEM2-CC,Baseline no CC,2050,Solar,906008.39,866977.566,39030.82398,0.045
HadGEM2-CC,Baseline no CC,2050,Uranium,42763,42763,0,0
HadGEM2-CC,Baseline no CC,2050,Waste Heat,43.6504,31.433,12.2174,0.389
HadGEM2-CC,Baseline no CC,2050,Water,221688.5372,240572.7791,-18884.2419,-0.078
HadGEM2-CC,Baseline no CC,2050,Wind,462470.938,450457.851,12013.087,0.027
HadGEM2-ES,Baseline no CC,2030,Battery Storage,1383.4464,412.3679,971.0785,2.355
HadGEM2-ES,Baseline no CC,2030,Biomass,14935.1472,14944.9666,-9.8194,-0.001
HadGEM2-ES,Baseline no CC,2030,Coal,23257.698,28285.598,-5027.9,-0.178
HadGEM2-ES,Baseline no CC,2030,Gas,339907.9687,331641.5448,8266.423875,0.025
HadGEM2-ES,Baseline no CC,2030,Geothermal,5684.382,5684.382,0,0
HadGEM2-ES,Baseline no CC,2030,Solar,282798.783,299685.265,-16886.482,-0.056
HadGEM2-ES,Baseline no CC,2030,Uranium,42763,42763,0,0
HadGEM2-ES,Baseline no CC,2030,Waste Heat,687.7337,710.0567,-22.323,-0.031
HadGEM2-ES,Baseline no CC,2030,Water,233605.8194,240572.7791,-6966.9597,-0.029
HadGEM2-ES,Baseline no CC,2030,Wind,152010.3248,112271.1872,39739.1376,0.354
HadGEM2-ES,Baseline no CC,2035,Battery Storage,11712.71305,23673.80803,-11961.09498,-0.505
HadGEM2-ES,Baseline no CC,2035,Biomass,15841.75907,16020.9467,-179.18763,-0.011
HadGEM2-ES,Baseline no CC,2035,Coal,4056.3,3911.8,144.5,0.037
HadGEM2-ES,Baseline no CC,2035,Gas,302521.9373,311595.2392,-9073.301947,-0.029
HadGEM2-ES,Baseline no CC,2035,Geothermal,2322.31,2322.31,0,0
HadGEM2-ES,Baseline no CC,2035,Solar,321533.344,370963.234,-49429.89,-0.133
HadGEM2-ES,Baseline no CC,2035,Uranium,42763,42763,0,0
HadGEM2-ES,Baseline no CC,2035,Waste Heat,380.9016,373.5922,7.3094,0.02
HadGEM2-ES,Baseline no CC,2035,Water,232865.3927,240572.7791,-7707.3864,-0.032
HadGEM2-ES,Baseline no CC,2035,Wind,260846.228,183113.07,77733.158,0.425
HadGEM2-ES,Baseline no CC,2040,Battery Storage,94988.762,60300.34808,34688.41392,0.575
HadGEM2-ES,Baseline no CC,2040,Biomass,16734.75797,16557.7686,176.98937,0.011
HadGEM2-ES,Baseline no CC,2040,Gas,214357.3927,217326.721,-2969.328328,-0.014
HadGEM2-ES,Baseline no CC,2040,Solar,516076.993,444994.35,71082.643,0.16
HadGEM2-ES,Baseline no CC,2040,Uranium,42880,42880,0,0
HadGEM2-ES,Baseline no CC,2040,Waste Heat,141.5559,147.3505,-5.7946,-0.039
HadGEM2-ES,Baseline no CC,2040,Water,223116.1263,241236.2242,-18120.0979,-0.075
HadGEM2-ES,Baseline no CC,2040,Wind,302083.625,323499.462,-21415.837,-0.066
HadGEM2-ES,Baseline no CC,2045,Battery Storage,208248.8501,174976.884,33271.96606,0.19
HadGEM2-ES,Baseline no CC,2045,Biomass,16538.13349,16448.4871,89.64639,0.005
HadGEM2-ES,Baseline no CC,2045,Gas,91016.50061,93571.69649,-2555.195882,-0.027
HadGEM2-ES,Baseline no CC,2045,Solar,688680.431,617190.51,71489.92102,0.116
HadGEM2-ES,Baseline no CC,2045,Uranium,42763,42763,0,0
HadGEM2-ES,Baseline no CC,2045,Waste Heat,97.3252,110.882,-13.5568,-0.122
HadGEM2-ES,Baseline no CC,2045,Water,208755.0994,240572.7791,-31817.6797,-0.132
HadGEM2-ES,Baseline no CC,2045,Wind,421578.271,427622.521,-6044.249962,-0.014
HadGEM2-ES,Baseline no CC,2050,Battery Storage,395229.78,327780.741,67449.03904,0.206
HadGEM2-ES,Baseline no CC,2050,Biomass,15613.02249,15343.5411,269.48139,0.018
HadGEM2-ES,Baseline no CC,2050,Solar,1001656.912,866977.566,134679.346,0.155
HadGEM2-ES,Baseline no CC,2050,Uranium,42763,42763,0,0
HadGEM2-ES,Baseline no CC,2050,Waste Heat,46.7046,31.433,15.2716,0.486
HadGEM2-ES,Baseline no CC,2050,Water,189576.0265,240572.7791,-50996.7526,-0.212
HadGEM2-ES,Baseline no CC,2050,Wind,406967.09,450457.851,-43490.76099,-0.097
MIROC5,Baseline no CC,2030,Battery Storage,2585.5674,412.3679,2173.1995,5.27
MIROC5,Baseline no CC,2030,Biomass,15087.8936,14944.9666,142.927,0.01
MIROC5,Baseline no CC,2030,Coal,24637.698,28285.598,-3647.9,-0.129
MIROC5,Baseline no CC,2030,Gas,343062.4879,331641.5448,11420.94315,0.034
MIROC5,Baseline no CC,2030,Geothermal,5684.382,5684.382,0,0
MIROC5,Baseline no CC,2030,Solar,286321.8012,299685.265,-13363.4638,-0.045
MIROC5,Baseline no CC,2030,Uranium,42763,42763,0,0
MIROC5,Baseline no CC,2030,Waste Heat,704.1848,710.0567,-5.8719,-0.008
MIROC5,Baseline no CC,2030,Water,232819.2581,240572.7791,-7753.521,-0.032
MIROC5,Baseline no CC,2030,Wind,137290.0061,112271.1872,25018.81892,0.223
MIROC5,Baseline no CC,2035,Battery Storage,13856.56505,23673.80803,-9817.242978,-0.415
MIROC5,Baseline no CC,2035,Biomass,15068.57848,16020.9467,-952.36822,-0.059
MIROC5,Baseline no CC,2035,Coal,3829.7,3911.8,-82.1,-0.021
MIROC5,Baseline no CC,2035,Gas,305947.4395,311595.2392,-5647.799778,-0.018
MIROC5,Baseline no CC,2035,Geothermal,2322.31,2322.31,0,0
MIROC5,Baseline no CC,2035,Solar,335837.9859,370963.234,-35125.24806,-0.095
MIROC5,Baseline no CC,2035,Uranium,42763,42763,0,0
MIROC5,Baseline no CC,2035,Waste Heat,383.2506,373.5922,9.6584,0.026
MIROC5,Baseline no CC,2035,Water,233367.6797,240572.7791,-7205.0994,-0.03
MIROC5,Baseline no CC,2035,Wind,243058.979,183113.07,59945.90904,0.327
MIROC5,Baseline no CC,2040,Battery Storage,63077.75307,60300.34808,2777.404989,0.046
MIROC5,Baseline no CC,2040,Biomass,16609.8746,16557.7686,52.106,0.003
MIROC5,Baseline no CC,2040,Gas,214516.8067,217326.721,-2809.914308,-0.013
MIROC5,Baseline no CC,2040,Solar,443476.6002,444994.35,-1517.749825,-0.003
MIROC5,Baseline no CC,2040,Uranium,42880,42880,0,0
MIROC5,Baseline no CC,2040,Waste Heat,140.7461,147.3505,-6.6044,-0.045
MIROC5,Baseline no CC,2040,Water,227012.7227,241236.2242,-14223.5015,-0.059
MIROC5,Baseline no CC,2040,Wind,362031.54,323499.462,38532.07804,0.119
MIROC5,Baseline no CC,2045,Battery Storage,176527.6481,174976.884,1550.764085,0.009
MIROC5,Baseline no CC,2045,Biomass,16537.7755,16448.4871,89.2884,0.005
MIROC5,Baseline no CC,2045,Gas,93459.36117,93571.69649,-112.335318,-0.001
MIROC5,Baseline no CC,2045,Solar,610697.5502,617190.51,-6492.959817,-0.011
MIROC5,Baseline no CC,2045,Uranium,42763,42763,0,0
MIROC5,Baseline no CC,2045,Waste Heat,108.6465,110.882,-2.2355,-0.02
MIROC5,Baseline no CC,2045,Water,222022.4367,240572.7791,-18550.3424,-0.077
MIROC5,Baseline no CC,2045,Wind,473458.749,427622.521,45836.228,0.107
MIROC5,Baseline no CC,2050,Battery Storage,356942.0301,327780.741,29161.28911,0.089
MIROC5,Baseline no CC,2050,Biomass,15380.8145,15343.5411,37.2734,0.002
MIROC5,Baseline no CC,2050,Solar,930794.687,866977.566,63817.12099,0.074
MIROC5,Baseline no CC,2050,Uranium,42763,42763,0,0
MIROC5,Baseline no CC,2050,Waste Heat,23.2646,31.433,-8.1684,-0.26
MIROC5,Baseline no CC,2050,Water,233216.6843,240572.7791,-7356.0948,-0.031
MIROC5,Baseline no CC,2050,Wind,418561.928,450457.851,-31895.923,-0.071
MPI-ESM-LR,Baseline no CC,2030,Battery Storage,1625.006811,412.3679,1212.638911,2.941
MPI-ESM-LR,Baseline no CC,2030,Biomass,15366.0719,14944.9666,421.1053,0.028
MPI-ESM-LR,Baseline no CC,2030,Coal,19714.75,28285.598,-8570.848,-0.303
MPI-ESM-LR,Baseline no CC,2030,Gas,348918.2696,331641.5448,17276.72482,0.052
MPI-ESM-LR,Baseline no CC,2030,Geothermal,5684.382,5684.382,0,0
MPI-ESM-LR,Baseline no CC,2030,Solar,285306.3782,299685.265,-14378.88682,-0.048
MPI-ESM-LR,Baseline no CC,2030,Uranium,42763,42763,0,0
MPI-ESM-LR,Baseline no CC,2030,Waste Heat,695.093,710.0567,-14.9637,-0.021
MPI-ESM-LR,Baseline no CC,2030,Water,251149.6118,240572.7791,10576.8327,0.044
MPI-ESM-LR,Baseline no CC,2030,Wind,125273.2158,112271.1872,13002.02857,0.116
MPI-ESM-LR,Baseline no CC,2035,Battery Storage,11389.04642,23673.80803,-12284.76161,-0.519
MPI-ESM-LR,Baseline no CC,2035,Biomass,16205.44398,16020.9467,184.49728,0.012
MPI-ESM-LR,Baseline no CC,2035,Coal,0,3911.8,-3911.8,-1
MPI-ESM-LR,Baseline no CC,2035,Gas,313202.1567,311595.2392,1606.917507,0.005
MPI-ESM-LR,Baseline no CC,2035,Geothermal,2322.31,2322.31,0,0
MPI-ESM-LR,Baseline no CC,2035,Solar,359542.1853,370963.234,-11421.04866,-0.031
MPI-ESM-LR,Baseline no CC,2035,Uranium,42763,42763,0,0
MPI-ESM-LR,Baseline no CC,2035,Waste Heat,363.0235,373.5922,-10.5687,-0.028
MPI-ESM-LR,Baseline no CC,2035,Water,240306.0218,240572.7791,-266.7573,-0.001
MPI-ESM-LR,Baseline no CC,2035,Wind,213258.5133,183113.07,30145.44329,0.165
MPI-ESM-LR,Baseline no CC,2040,Battery Storage,70650.44654,60300.34808,10350.09846,0.172
MPI-ESM-LR,Baseline no CC,2040,Biomass,16646.8852,16557.7686,89.1166,0.005
MPI-ESM-LR,Baseline no CC,2040,Gas,213653.9969,217326.721,-3672.724085,-0.017
MPI-ESM-LR,Baseline no CC,2040,Solar,429982.7606,444994.35,-15011.58945,-0.034
MPI-ESM-LR,Baseline no CC,2040,Uranium,42880,42880,0,0
MPI-ESM-LR,Baseline no CC,2040,Waste Heat,133.3455,147.3505,-14.005,-0.095
MPI-ESM-LR,Baseline no CC,2040,Water,209876.4376,241236.2242,-31359.7866,-0.13
MPI-ESM-LR,Baseline no CC,2040,Wind,397895.2438,323499.462,74395.78181,0.23
MPI-ESM-LR,Baseline no CC,2045,Battery Storage,193000.5508,174976.884,18023.66683,0.103
MPI-ESM-LR,Baseline no CC,2045,Biomass,16585.7755,16448.4871,137.2884,0.008
MPI-ESM-LR,Baseline no CC,2045,Gas,93039.70767,93571.69649,-531.988823,-0.006
MPI-ESM-LR,Baseline no CC,2045,Solar,628000.7642,617190.51,10810.25418,0.018
MPI-ESM-LR,Baseline no CC,2045,Uranium,42763,42763,0,0
MPI-ESM-LR,Baseline no CC,2045,Waste Heat,136.453,110.882,25.571,0.231
MPI-ESM-LR,Baseline no CC,2045,Water,197912.7511,240572.7791,-42660.028,-0.177
MPI-ESM-LR,Baseline no CC,2045,Wind,482789.4111,427622.521,55166.89008,0.129
MPI-ESM-LR,Baseline no CC,2050,Battery Storage,341729.2893,327780.741,13948.54834,0.043
MPI-ESM-LR,Baseline no CC,2050,Biomass,15380.8145,15343.5411,37.2734,0.002
MPI-ESM-LR,Baseline no CC,2050,Geothermal,1.18E-05,0,1.18E-05,Inf
MPI-ESM-LR,Baseline no CC,2050,Solar,916286.5762,866977.566,49309.01016,0.057
MPI-ESM-LR,Baseline no CC,2050,Uranium,42763,42763,0,0
MPI-ESM-LR,Baseline no CC,2050,Waste Heat,17.9734,31.433,-13.4596,-0.428
MPI-ESM-LR,Baseline no CC,2050,Water,226012.8933,240572.7791,-14559.8858,-0.061
MPI-ESM-LR,Baseline no CC,2050,Wind,441397.647,450457.851,-9060.203968,-0.02
bcc-csm1-1,Baseline no CC,2030,Battery Storage,1909.5438,412.3679,1497.1759,3.631
bcc-csm1-1,Baseline no CC,2030,Biomass,15121.8969,14944.9666,176.9303,0.012
bcc-csm1-1,Baseline no CC,2030,Coal,20208.15,28285.598,-8077.448,-0.286
bcc-csm1-1,Baseline no CC,2030,Gas,355639.0275,331641.5448,23997.48269,0.072
bcc-csm1-1,Baseline no CC,2030,Geothermal,5684.382,5684.382,0,0
bcc-csm1-1,Baseline no CC,2030,Solar,285800.9255,299685.265,-13884.3395,-0.046
bcc-csm1-1,Baseline no CC,2030,Uranium,42763,42763,0,0
bcc-csm1-1,Baseline no CC,2030,Waste Heat,724.9364,710.0567,14.8797,0.021
bcc-csm1-1,Baseline no CC,2030,Water,210152.1525,240572.7791,-30420.6266,-0.126
