Scenario,PERIOD,Tx_type,MW_Tx,Baseline_Scenario,MW_Tx_baseline,Delta_MW_Tx,Tx_perc_change_from_baseline
CESM1-CAM5,2035,Existing Tx Capacity,399816.1,Baseline no CC,405855.11,-6039.01,-0.015
CESM1-CAM5,2040,Existing Tx Capacity,409209.541,Baseline no CC,417412.8031,-8203.2621,-0.02
CESM1-CAM5,2045,Existing Tx Capacity,442595.541,Baseline no CC,448557.992,-5962.451016,-0.013
CESM1-CAM5,2050,Existing Tx Capacity,470205.351,Baseline no CC,462510.427,7694.923984,0.017
CMCC-CM,2030,Existing Tx Capacity,397134.97,Baseline no CC,397134.995,-0.025,0
CMCC-CM,2035,Existing Tx Capacity,403023.457,Baseline no CC,405855.11,-2831.653,-0.007
CMCC-CM,2040,Existing Tx Capacity,415788.187,Baseline no CC,417412.8031,-1624.616098,-0.004
CMCC-CM,2045,Existing Tx Capacity,438288.719,Baseline no CC,448557.992,-10269.27298,-0.023
CMCC-CM,2050,Existing Tx Capacity,440050.5611,Baseline no CC,462510.427,-22459.86595,-0.049
CMCC-CMS,2030,Existing Tx Capacity,397135,Baseline no CC,397134.995,0.005,0
CMCC-CMS,2035,Existing Tx Capacity,400328.229,Baseline no CC,405855.11,-5526.881,-0.014
CMCC-CMS,2040,Existing Tx Capacity,409096.003,Baseline no CC,417412.8031,-8316.8001,-0.02
CMCC-CMS,2045,Existing Tx Capacity,416521.84,Baseline no CC,448557.992,-32036.152,-0.071
CMCC-CMS,2050,Existing Tx Capacity,439116.12,Baseline no CC,462510.427,-23394.307,-0.051
CNRM-CM5,2030,Existing Tx Capacity,397134.99,Baseline no CC,397134.995,-0.005,0
CNRM-CM5,2035,Existing Tx Capacity,401131.81,Baseline no CC,405855.11,-4723.3,-0.012
CNRM-CM5,2040,Existing Tx Capacity,406464.24,Baseline no CC,417412.8031,-10948.5631,-0.026
CNRM-CM5,2045,Existing Tx Capacity,426774.572,Baseline no CC,448557.992,-21783.42,-0.049
CNRM-CM5,2050,Existing Tx Capacity,466759.746,Baseline no CC,462510.427,4249.319006,0.009
CanESM,2030,Existing Tx Capacity,397134.994,Baseline no CC,397134.995,-0.001,0
CanESM,2035,Existing Tx Capacity,406989.21,Baseline no CC,405855.11,1134.1,0.003
CanESM,2040,Existing Tx Capacity,414403,Baseline no CC,417412.8031,-3009.8031,-0.007
CanESM,2045,Existing Tx Capacity,442589.9461,Baseline no CC,448557.992,-5968.0459,-0.013
CanESM,2050,Existing Tx Capacity,465132.304,Baseline no CC,462510.427,2621.877001,0.006
GFDL-CM3,2030,Existing Tx Capacity,397135.05,Baseline no CC,397134.995,0.055,0
GFDL-CM3,2035,Existing Tx Capacity,401796.338,Baseline no CC,405855.11,-4058.771976,-0.01
GFDL-CM3,2040,Existing Tx Capacity,410453.6519,Baseline no CC,417412.8031,-6959.151188,-0.017
GFDL-CM3,2045,Existing Tx Capacity,441130.314,Baseline no CC,448557.992,-7427.677951,-0.017
