Scenario,PERIOD,Tx_type,MW_Tx,Baseline_Scenario,MW_Tx_baseline,Delta_MW_Tx,Tx_perc_change_from_baseline
MIROC5,2030,New Tx Capacity Built,5177.61,Baseline no CC,8720.105,-3542.495,-0.406
MIROC5,2035,New Tx Capacity Built,8460.10885,Baseline no CC,11557.78,-3097.67115,-0.268
MIROC5,2040,New Tx Capacity Built,40775.286,Baseline no CC,31145.3869,9629.8991,0.309
MIROC5,2045,New Tx Capacity Built,18140.27,Baseline no CC,13951.558,4188.712,0.3
MIROC5,2050,New Tx Capacity Built,24078.138,Baseline no CC,18652.163,5425.975,0.291
MPI-ESM-LR,2030,New Tx Capacity Built,5044.140019,Baseline no CC,8720.105,-3675.964981,-0.422
MPI-ESM-LR,2035,New Tx Capacity Built,4921.73,Baseline no CC,11557.78,-6636.05,-0.574
MPI-ESM-LR,2040,New Tx Capacity Built,29549.95001,Baseline no CC,31145.3869,-1595.436885,-0.051
MPI-ESM-LR,2045,New Tx Capacity Built,17190.02101,Baseline no CC,13951.558,3238.46301,0.232
MPI-ESM-LR,2050,New Tx Capacity Built,21319.92901,Baseline no CC,18652.163,2667.766013,0.143
bcc-csm1-1,2030,New Tx Capacity Built,9883.57,Baseline no CC,8720.105,1163.465,0.133
bcc-csm1-1,2035,New Tx Capacity Built,8714.84,Baseline no CC,11557.78,-2842.94,-0.246
bcc-csm1-1,2040,New Tx Capacity Built,20629.3621,Baseline no CC,31145.3869,-10516.0248,-0.338
bcc-csm1-1,2045,New Tx Capacity Built,33828.48,Baseline no CC,13951.558,19876.922,1.425
bcc-csm1-1,2050,New Tx Capacity Built,14067.65,Baseline no CC,18652.163,-4584.513,-0.246
ACCESS-1.0,2030,Total Tx Nameplate Capacity,400829.16,Baseline no CC,405855.1,-5025.94,-0.012
ACCESS-1.0,2035,Total Tx Nameplate Capacity,419127.271,Baseline no CC,417412.89,1714.381,0.004
ACCESS-1.0,2040,Total Tx Nameplate Capacity,437759.451,Baseline no CC,448558.19,-10798.739,-0.024
ACCESS-1.0,2045,Total Tx Nameplate Capacity,455924.433,Baseline no CC,462509.55,-6585.117,-0.014
ACCESS-1.0,2050,Total Tx Nameplate Capacity,476054.903,Baseline no CC,481162.59,-5107.687,-0.011
CCSM,2030,Total Tx Nameplate Capacity,403234.4304,Baseline no CC,405855.1,-2620.669606,-0.006
CCSM,2035,Total Tx Nameplate Capacity,413366.2313,Baseline no CC,417412.89,-4046.658702,-0.01
