"load_zone","ts_period","energy_category","Energy_GWh_typical_yr","Scenario","Energy_GWh_typical_yr_Baseline","Baseline_Scenario","Delta_AnnualGen_GWh","AnnualGen_perc_change_from_baseline","climate_impacts_included","energy_category_disagg"
"AZ_APS_E",2035,"zone_demand_GWh",2830.17638,"CESM1-BGC",2825.92751,"Baseline no CC",4.24886999999944,0.002,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_E",2035,"zone_demand_GWh",2836.14947,"CESM1-CAM5",2825.92751,"Baseline no CC",10.2219599999999,0.004,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_E",2035,"zone_demand_GWh",2837.50759,"CMCC-CM",2825.92751,"Baseline no CC",11.5800799999993,0.004,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_E",2035,"zone_demand_GWh",2836.64066,"CMCC-CMS",2825.92751,"Baseline no CC",10.7131499999996,0.004,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_E",2035,"zone_demand_GWh",2826.20102,"CNRM-CM5",2825.92751,"Baseline no CC",0.273509999999533,0,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_E",2035,"zone_demand_GWh",2836.10936,"CanESM",2825.92751,"Baseline no CC",10.1818499999995,0.004,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_E",2035,"zone_demand_GWh",2835.4923,"GFDL-CM3",2825.92751,"Baseline no CC",9.56478999999945,0.003,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_E",2035,"zone_demand_GWh",2835.7238,"GFDL-ESM2M",2825.92751,"Baseline no CC",9.79628999999932,0.003,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_E",2035,"zone_demand_GWh",2837.49002,"HadGEM2-CC",2825.92751,"Baseline no CC",11.5625099999997,0.004,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_E",2035,"zone_demand_GWh",2836.8109,"HadGEM2-ES",2825.92751,"Baseline no CC",10.8833899999995,0.004,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_E",2035,"zone_demand_GWh",2836.0324,"MIROC5",2825.92751,"Baseline no CC",10.1048899999996,0.004,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_E",2035,"zone_demand_GWh",2837.03951,"MPI-ESM-LR",2825.92751,"Baseline no CC",11.1119999999992,0.004,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_E",2035,"zone_demand_GWh",2835.88304,"bcc-csm1-1",2825.92751,"Baseline no CC",9.95552999999973,0.004,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_E",2040,"zone_demand_GWh",3057.67862,"ACCESS-1.0",3051.24984,"Baseline no CC",6.42878000000019,0.002,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_E",2040,"zone_demand_GWh",3056.31505,"CCSM",3051.24984,"Baseline no CC",5.06520999999975,0.002,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_E",2040,"zone_demand_GWh",3051.88772,"CESM1-BGC",3051.24984,"Baseline no CC",0.637880000000223,0,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_E",2040,"zone_demand_GWh",3056.42762,"CESM1-CAM5",3051.24984,"Baseline no CC",5.17777999999998,0.002,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_E",2040,"zone_demand_GWh",3057.729,"CMCC-CM",3051.24984,"Baseline no CC",6.47915999999987,0.002,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_E",2040,"zone_demand_GWh",3057.63266,"CMCC-CMS",3051.24984,"Baseline no CC",6.38282000000027,0.002,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_E",2040,"zone_demand_GWh",3049.16606,"CNRM-CM5",3051.24984,"Baseline no CC",-2.08377999999993,-0.001,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_E",2040,"zone_demand_GWh",3056.7223,"CanESM",3051.24984,"Baseline no CC",5.47245999999996,0.002,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_E",2040,"zone_demand_GWh",3056.22007,"GFDL-CM3",3051.24984,"Baseline no CC",4.9702299999999,0.002,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_E",2040,"zone_demand_GWh",3056.28956,"GFDL-ESM2M",3051.24984,"Baseline no CC",5.03972000000022,0.002,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_E",2040,"zone_demand_GWh",3057.5632,"HadGEM2-CC",3051.24984,"Baseline no CC",6.3133600000001,0.002,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_E",2040,"zone_demand_GWh",3057.23639,"HadGEM2-ES",3051.24984,"Baseline no CC",5.98655000000008,0.002,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_E",2040,"zone_demand_GWh",3056.67833,"MIROC5",3051.24984,"Baseline no CC",5.42849000000024,0.002,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_E",2040,"zone_demand_GWh",3057.35616,"MPI-ESM-LR",3051.24984,"Baseline no CC",6.10632000000032,0.002,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_E",2040,"zone_demand_GWh",3056.1264,"bcc-csm1-1",3051.24984,"Baseline no CC",4.87656000000015,0.002,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_E",2045,"zone_demand_GWh",3200.82957,"ACCESS-1.0",3199.47832,"Baseline no CC",1.35125000000016,0,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_E",2045,"zone_demand_GWh",3199.51953,"CCSM",3199.47832,"Baseline no CC",0.041210000000774,0,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_E",2045,"zone_demand_GWh",3197.63467,"CESM1-BGC",3199.47832,"Baseline no CC",-1.8436499999998,-0.001,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_E",2045,"zone_demand_GWh",3198.74715,"CESM1-CAM5",3199.47832,"Baseline no CC",-0.73117000000002,0,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_E",2045,"zone_demand_GWh",3200.98711,"CMCC-CM",3199.47832,"Baseline no CC",1.50879000000032,0,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_E",2045,"zone_demand_GWh",3200.92334,"CMCC-CMS",3199.47832,"Baseline no CC",1.44502000000011,0,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_E",2045,"zone_demand_GWh",3192.19542,"CNRM-CM5",3199.47832,"Baseline no CC",-7.2828999999997,-0.002,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_E",2045,"zone_demand_GWh",3199.19632,"CanESM",3199.47832,"Baseline no CC",-0.281999999999698,0,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_E",2045,"zone_demand_GWh",3199.65612,"GFDL-CM3",3199.47832,"Baseline no CC",0.177800000000389,0,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_E",2045,"zone_demand_GWh",3195.54616,"GFDL-ESM2M",3199.47832,"Baseline no CC",-3.93215999999939,-0.001,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_E",2045,"zone_demand_GWh",3200.24512,"HadGEM2-CC",3199.47832,"Baseline no CC",0.76680000000033,0,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_E",2045,"zone_demand_GWh",3200.60291,"HadGEM2-ES",3199.47832,"Baseline no CC",1.12459000000035,0,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_E",2045,"zone_demand_GWh",3200.35657,"MIROC5",3199.47832,"Baseline no CC",0.878250000000207,0,"Hydropower and Water Load Scenarios","Water Load"
